text,label,style
"leg socks | they stop at the ankle, no foot part","Compression Calf Sleeves/Tights (footless), any length",progressive
"leg socks | they stop at the ankle, no foot","Compression Calf Sleeves/Tights (footless), any length",progressive_aug
"socks leg | they stop at the ankle, no foot part","Compression Calf Sleeves/Tights (footless), any length",progressive_aug
"leg socks | they stop at the ankle, no foot part so","Compression Calf Sleeves/Tights (footless), any length",progressive_aug
"the 30 and over option is confusing because my stockings say 30-40, is that the same thing?","Compression Stockings, knee length (30 mmhg & over)",complaint
"the 30 and over option is confusing my stockings say 30-40, is that the same thing?","Compression Stockings, knee length (30 mmhg & over)",complaint_aug
"the 30 and over because is confusing option my stockings say 30-40, is that the same thing?","Compression Stockings, knee length (30 mmhg & over)",complaint_aug
"the 30 and just over option is confusing because my stockings say 30-40, is that the same thing?","Compression Stockings, knee length (30 mmhg & over)",complaint_aug
stockings that were custom made,"Compression Stockings, custom, any length",vague_turn1
stockings that were custom,"Compression Stockings, custom, any length",vague_turn1_aug
custom that were stockings made,"Compression Stockings, custom, any length",vague_turn1_aug
basically stockings that were custom made,"Compression Stockings, custom, any length",vague_turn1_aug
home BP monitor,Blood pressure monitor,vague_turn1
I think home BP monitor,Blood pressure monitor,vague_turn1_aug
got a Mueller adjustable knee brace from Walmart,Brace (Non-custom),brand_specific
got a Mueller knee brace from Walmart,Brace (Non-custom),brand_specific_aug
knee a Mueller adjustable got brace from Walmart,Brace (Non-custom),brand_specific_aug
got a Mueller just adjustable knee brace from Walmart,Brace (Non-custom),brand_specific_aug
bought a ResMed AirFit F20 full face mask from CPAP Solutions,"CPAP, APAP, BIPAP Mask",brand_specific
bought a ResMed AirFit F20 full face mask from CPAP,"CPAP, APAP, BIPAP Mask",brand_specific_aug
bought a ResMed AirFit F20 full from mask face CPAP Solutions,"CPAP, APAP, BIPAP Mask",brand_specific_aug
bought a ResMed um AirFit F20 full face mask from CPAP Solutions,"CPAP, APAP, BIPAP Mask",brand_specific_aug
contact lenses,Prescription Contacts,vague_turn1
contact lenses so,Prescription Contacts,vague_turn1_aug
knocked tooth in accident,Dental Accident,partial_turn2
accident tooth in knocked,Dental Accident,partial_turn2_aug
knocked tooth in so accident,Dental Accident,partial_turn2_aug
shoe inserts | custom | podiatrist made them from my foot impression,Custom made foot orthotics,progressive
shoe inserts | custom podiatrist made them from my foot impression,Custom made foot orthotics,progressive_aug
shoe inserts custom | | podiatrist made them from my foot impression,Custom made foot orthotics,progressive_aug
shoe inserts | custom | podiatrist made them from my foot impression so,Custom made foot orthotics,progressive_aug
provincial plan replacement claim,Provincial Replacement Plan,terse
claim plan replacement provincial,Provincial Replacement Plan,terse_aug
provincial plan replacement basically claim,Provincial Replacement Plan,terse_aug
skin prick allergy test,Scratch Test for Allergies,terse
skin allergy prick test,Scratch Test for Allergies,terse_aug
skin prick allergy test so,Scratch Test for Allergies,terse_aug
ostomy supplies,Ostomy,vague_turn1
just ostomy supplies,Ostomy,vague_turn1_aug
ND visit,Naturopathic Treatment,vague_turn1
ND like visit,Naturopathic Treatment,vague_turn1_aug
broken bone cast,"Cast, fiberglass",vague_turn1
um broken bone cast,"Cast, fiberglass",vague_turn1_aug
"the kind with the arm cuff, not underarm",Forearm Crutch (purchase),partial_turn2
