text,label,style
annual eye exam,Eye Exam,terse
What category for a brace I bought off the shelf at the pharmacy?,Brace (Non-custom),question
"I bought the thing that sends electric pulses to my muscles, it has pads you stick on","Stimulator, muscle/nerve (TENS)",confused_student
"contacts, not glasses! I keep accidentally selecting the glasses category for my prescription contacts",Prescription Contacts,complaint
compression gloves arthritis,Other garment brace services (i.e. compression gloves),terse
the allergist put drops on my arm and poked them to see what I'm allergic to,Scratch Test for Allergies,confused_student
Claiming a comprehensive environmental and food allergen skin prick testing panel performed by a certified allergist,Scratch Test for Allergies,detailed_clinical
Submitting for cephalometric radiograph and dental model impressions for orthodontic treatment planning,Other Orthodontic/Dental Services (i.e. orthodontic records),detailed_clinical
bought an automatic insulin gun for my son because he's scared of injecting himself,Insulin Gun (automatic),parent_or_dependent
I filed under 'Other medical items' but it's actually a TENS machine for nerve stimulation,"Stimulator, muscle/nerve (TENS)",wrong_guess
purchased a Carex raised toilet seat with handles from Shoppers Home Health,Raised Toilet seat (purchase),brand_specific
stationary bedside commode,Stationary Commode (purchase),terse
purchased a Hugo Adjustable quad cane from Medichair,Quad Cane (purchase),brand_specific
"my dentist wants to submit an estimate before doing the work, for pre-approval",Dental Estimate for Services,confused_student
I saw a therapist who helps me do everyday tasks again after my wrist surgery,Occupational Therapy,confused_student
"I bought one of those bags you microwave and put on your sore neck, it's reusable",Heat Therapy - Re-usable items (purchase),confused_student
home BP monitor cuff,Blood pressure monitor,terse
"I put this under 'Podiatry Treatment' but my receipt says chiropodist, not podiatrist",Chiropody (Foot Care) Treatment,wrong_guess
I couldn't wait 6 months for a public MRI so I paid out of pocket at a private clinic for my knee scan,MRI (Magnetic Resonance Imaging),storyteller
submitting for my husband's knee-high compression stockings at 22 mmhg after his vein surgery,"Compression Stockings, knee length (20-29 mmhg)",parent_or_dependent
OT occupational therapy,Occupational Therapy,terse
I buy the knee sock with compression number 15 to 19 for my leg problem,"Compression Stockings, knee length (15-19 mmhg)",esl_speaker
psychologist therapy sessions,Psychologist,terse
