text,label,style
"leg socks | they stop at the ankle, no foot part","Compression Calf Sleeves/Tights (footless), any length",progressive
"the 30 and over option is confusing because my stockings say 30-40, is that the same thing?","Compression Stockings, knee length (30 mmhg & over)",complaint
stockings that were custom made,"Compression Stockings, custom, any length",vague_turn1
grab bars bathroom safety installation,Grab Bar/Bath Bar - permanent fixtures (purchase),natural_diverse
home BP monitor,Blood pressure monitor,vague_turn1
got a Mueller adjustable knee brace from Walmart,Brace (Non-custom),brand_specific
bought a ResMed AirFit F20 full face mask from CPAP Solutions,"CPAP, APAP, BIPAP Mask",brand_specific
contact lenses,Prescription Contacts,vague_turn1
audiometric exam hearing test,Audiometric Exam,natural_diverse
knocked tooth in accident,Dental Accident,partial_turn2
shoe inserts | custom | podiatrist made them from my foot impression,Custom made foot orthotics,progressive
provincial plan replacement claim,Provincial Replacement Plan,terse
skin prick allergy test,Scratch Test for Allergies,terse
"got a brace from walmart for my wrist, the kind u just buy off shelf",Brace (Non-custom),natural_diverse
ostomy supplies,Ostomy,vague_turn1
submitting for social worker visits after my mom's stroke,Social Worker (Bachelors),natural_diverse
submitting for the BP monitor i use twice daily at home,Blood pressure monitor,natural_diverse
custom fit ear protection made by audiologist for noise at work,Ear Plugs (custom made),natural_diverse
ND visit,Naturopathic Treatment,vague_turn1
broken bone cast,"Cast, fiberglass",vague_turn1
"tuberculosis screening test, the injection in the forearm",TB Test/Mantoux,natural_diverse
"LANCETS not the meter or strips, the tiny needles for the finger poke",Lancet,natural_diverse
"special vision diagnostic, optometrist ordered special eye scan for my macular concern",Diagnostic Vision Test,natural_diverse
"the kind with the arm cuff, not underarm",Forearm Crutch (purchase),partial_turn2
"I submitted under 'Stimulator muscle/nerve TENS' but I only bought replacement pads, not the machine","Stimulator, supplies",wrong_guess
gene testing | for my family history | BRCA type screening,Screening (for DNA/Genetic purposes),progressive
made from impression of my ear,Ear Plugs (custom made),partial_turn2
"my mother is in a long term care facility, monthly fees",Nursing Home and Long Term Care,natural_diverse
Where do I submit a claim for a custom-made AFO or KAFO brace?,"Brace, AFO/KAFO (Custom)",question
had a deep tissue massage at Massage Addict clinic on Merivale Road,Massage,brand_specific
"electric breast pump for pumping milk, the medela one",Breast Pump (purchase),natural_diverse
bought Moen Home Care SecureMount grab bars from Home Depot,Grab Bar/Bath Bar - permanent fixtures (purchase),brand_specific
TB skin test for immigration or work requirement,TB Test/Mantoux,natural_diverse
device I blow into to check my lungs,Peak Flow Meter,partial_turn2
"I keep mixing up sensors and transmitters, these are the SENSORS that you stick on and replace every 10 days",Glucose Monitoring System Supplies/Sensors,complaint
seeing a naturopath for my hormonal issues and fatigue,Naturopathic Treatment,natural_diverse
work glasses | safety frames | my prescription inside,Safety Glasses,progressive
Claiming custom-fitted bilateral thigh-length compression garments rated 30-40 mmHg for stage III chronic lymphedema,"Compression Stockings, thigh/full (30 mmhg & over)",detailed_clinical
claiming an ultrasound my wife had done privately because the wait was too long,Ultrasound,parent_or_dependent
submitting for compression garment for my lymph fluid buildup condition,Other garment brace services (i.e. compression gloves),natural_diverse
"retinal imaging and visual field analysis, diagnostic not routine exam",Diagnostic Vision Test,natural_diverse
my dad needs a rolling commode so the PSW can move him to the bathroom easier,Wheeled Commode (purchase),parent_or_dependent
"CUSTOM orthotics not the insoles from shoppers, cast from my feet",Custom made foot orthotics,natural_diverse
"hospital costs within ontario, in-patient stay",Hospital (within your province),natural_diverse
went to the audiologist for my hearing assessment,Audiologist Services,natural_diverse
genetic counselor and DNA screening for my family history of cancer,Screening (for DNA/Genetic purposes),natural_diverse
the plastic chamber for my puffer,Aerochamber,partial_turn2
"AMBULANCE service fee, the transport to hospital during emergency",Ambulance,natural_diverse
cold pack | freezer type | reusable for my injury,Cold Therapy - Re-usable Items (purchase),progressive
purchased a case of Tena Intimates overnight pads from Well.ca,Incontinence Supplies,brand_specific
specialized medical equipment for my rare condition,Other medical items,natural_diverse
eyewear | corrective not sunglasses | from the optician,Prescription Glasses,progressive
My TENS electrode pads lost their stickiness after a month of use so I ordered a bulk pack of replacements,"Stimulator, supplies",storyteller
emergency transport | 911 ambulance fee | cardiac event,Ambulance,progressive
I lost my hair from chemo and bought a wig to wear,Wig,confused_student
polysomnography sleep test,Sleep Study,partial_turn2
prescription eyeglasses frames lenses,Prescription Glasses,natural_diverse
"lost my libre receiver, need to claim replacement, the screen part",Glucose Monitoring System Receiver,natural_diverse
incontinence supplies | adult briefs | for my father's bladder condition,Incontinence Supplies,progressive
I got a cane that has four little feet at the bottom instead of just one point,Quad Cane (purchase),confused_student
physio recommended a special neck pillow for my cervical issue,Cervical Pillow,natural_diverse
bought a pair of underarm crutches for my son after his ankle fracture,"Crutches, pair",parent_or_dependent
"full length compression hose, firm kind","Compression Stockings, thigh/full (20-29 mmhg)",natural_diverse
specialized genetic testing ordered by my specialist,Other laboratory and diagnostic tests,natural_diverse
wore a blood pressure monitor for 24 hours to check my BP patterns,Ambulatory Blood Pressure Test,natural_diverse
"this is the REGULAR walker not the one with wheels, just four legs",Walker - non wheeled (purchase),natural_diverse
"sleep apnea machine machine for my breathing at night, got it from a medical equipment store","CPAP, APAP, BIPAP Machine",natural_diverse
bought an automatic insulin gun for my son because he's scared of injecting himself,Insulin Gun (automatic),parent_or_dependent
"got a gel cold pack for my injury, the kind you keep in the freezer",Cold Therapy - Re-usable Items (purchase),natural_diverse
"I bought a pump for breastfeeding, the electric kind",Breast Pump (purchase),confused_student
Which category for an IV pole I bought for home infusion therapy?,IV Stand (purchase),question
drip pole | bought for home | for my home IV treatments,IV Stand (purchase),progressive
mom lives at the care home monthly fees,Nursing Home and Long Term Care,partial_turn2
"not off the shelf, custom for my left knee","Brace, left knee (Custom)",partial_turn2
"TRANSPORT wheelchair not self propelled, someone pushes this one",Transport Wheelchair,natural_diverse
"knee lenght compression, not the thigh ones, medium level, how do i file","Compression Stockings, knee length (15-19 mmhg)",natural_diverse
massage,Massage,vague_turn1
medical ID bracelet subscription,Medic Alert Bracelet,partial_turn2
injection in my heel,Podiatry Treatment,partial_turn2
the rails for the bed,Bed Rails (purchase),vague_turn1
"knee length, quite tight","Compression Stockings, knee length (20-29 mmhg)",partial_turn2
