text,label
I bought footless compression tights for running,"Compression Calf Sleeves/Tights (footless), any length"
need to claim calf sleeves that don't cover my feet,"Compression Calf Sleeves/Tights (footless), any length"
compression calf sleeves I wear for circulation,"Compression Calf Sleeves/Tights (footless), any length"
purchased footless compression leggings from the pharmacy,"Compression Calf Sleeves/Tights (footless), any length"
my doctor told me to get compression tights without feet,"Compression Calf Sleeves/Tights (footless), any length"
where do I claim compression sleeves that are footless,"Compression Calf Sleeves/Tights (footless), any length"
got some calf compression sleeves for my leg swelling,"Compression Calf Sleeves/Tights (footless), any length"
bought open-toe compression tights,"Compression Calf Sleeves/Tights (footless), any length"
light compression stockings under 14 mmhg,"Compression Stockings, any length (up to 14 mmhg)"
I bought mild compression socks around 10 mmhg pressure,"Compression Stockings, any length (up to 14 mmhg)"
low pressure compression stockings for daily wear,"Compression Stockings, any length (up to 14 mmhg)"
support stockings with less than 14 mmhg compression,"Compression Stockings, any length (up to 14 mmhg)"
got some light compression hose about 12 mmhg,"Compression Stockings, any length (up to 14 mmhg)"
mild support stockings for long flights under 14mmhg,"Compression Stockings, any length (up to 14 mmhg)"
bought 8-14 mmhg compression stockings from shoppers,"Compression Stockings, any length (up to 14 mmhg)"
need to claim low-grade compression socks,"Compression Stockings, any length (up to 14 mmhg)"
custom-made compression stockings fitted at the clinic,"Compression Stockings, custom, any length"
my doctor ordered custom compression stockings for me,"Compression Stockings, custom, any length"
I got measured and had compression stockings custom made,"Compression Stockings, custom, any length"
prescription custom fitted compression socks,"Compression Stockings, custom, any length"
claiming custom compression stockings from a fitter,"Compression Stockings, custom, any length"
had stockings specially made to fit my legs,"Compression Stockings, custom, any length"
custom molded compression stockings from the orthotics place,"Compression Stockings, custom, any length"
"these are not off the shelf, they were custom made compression stockings","Compression Stockings, custom, any length"
knee high compression stockings 15-19 mmhg,"Compression Stockings, knee length (15-19 mmhg)"
bought knee length support socks rated 15 to 19 mmhg,"Compression Stockings, knee length (15-19 mmhg)"
claiming knee-high compression stockings at 18 mmhg,"Compression Stockings, knee length (15-19 mmhg)"
got some moderate compression knee socks about 15 mmhg,"Compression Stockings, knee length (15-19 mmhg)"
prescription knee length stockings 15-19 mmhg pressure,"Compression Stockings, knee length (15-19 mmhg)"
knee high compression hose around 17 mmhg,"Compression Stockings, knee length (15-19 mmhg)"
I need to submit a claim for knee length compression socks 15mmhg,"Compression Stockings, knee length (15-19 mmhg)"
purchased below-knee compression stockings rated 15-19,"Compression Stockings, knee length (15-19 mmhg)"
knee high compression stockings 20-30 mmhg,"Compression Stockings, knee length (20-29 mmhg)"
bought knee length medical compression socks rated 20-29 mmhg,"Compression Stockings, knee length (20-29 mmhg)"
my prescription says knee length stockings 25 mmhg,"Compression Stockings, knee length (20-29 mmhg)"
claiming knee-high compression stockings rated 20 to 29 mmhg,"Compression Stockings, knee length (20-29 mmhg)"
firm compression knee socks about 20 mmhg,"Compression Stockings, knee length (20-29 mmhg)"
knee length compression hose 20-29mmhg from the pharmacy,"Compression Stockings, knee length (20-29 mmhg)"
doctor prescribed knee high stockings at 25 mmhg pressure,"Compression Stockings, knee length (20-29 mmhg)"
need to claim knee-high 20-29 mmhg compression stockings,"Compression Stockings, knee length (20-29 mmhg)"
knee high compression stockings 30 mmhg or higher,"Compression Stockings, knee length (30 mmhg & over)"
I got high compression knee socks rated 30-40 mmhg,"Compression Stockings, knee length (30 mmhg & over)"
claiming strong compression knee length stockings over 30 mmhg,"Compression Stockings, knee length (30 mmhg & over)"
prescribed knee-high stockings at 35 mmhg for my varicose veins,"Compression Stockings, knee length (30 mmhg & over)"
knee length medical grade compression 30+ mmhg,"Compression Stockings, knee length (30 mmhg & over)"
extra firm knee high compression stockings 40 mmhg,"Compression Stockings, knee length (30 mmhg & over)"
bought knee-high compression socks rated above 30 mmhg,"Compression Stockings, knee length (30 mmhg & over)"
need to claim knee length stockings that are 30 mmhg and over,"Compression Stockings, knee length (30 mmhg & over)"
thigh high compression stockings 15-19 mmhg,"Compression Stockings, thigh/full (15-19 mmhg)"
bought full length compression stockings at 15 mmhg pressure,"Compression Stockings, thigh/full (15-19 mmhg)"
claiming thigh length support stockings 15-19 mmhg,"Compression Stockings, thigh/full (15-19 mmhg)"
got waist-high pantyhose compression stockings about 18 mmhg,"Compression Stockings, thigh/full (15-19 mmhg)"
thigh high moderate compression hose 15-19 mmhg,"Compression Stockings, thigh/full (15-19 mmhg)"
full length compression stockings rated 15 to 19,"Compression Stockings, thigh/full (15-19 mmhg)"
my thigh-high compression socks are 15mmhg,"Compression Stockings, thigh/full (15-19 mmhg)"
prescription thigh length stockings 15-19 mmhg,"Compression Stockings, thigh/full (15-19 mmhg)"
thigh high compression stockings 20-29 mmhg,"Compression Stockings, thigh/full (20-29 mmhg)"
bought full length firm compression stockings at 25 mmhg,"Compression Stockings, thigh/full (20-29 mmhg)"
claiming thigh length compression hose 20-29 mmhg,"Compression Stockings, thigh/full (20-29 mmhg)"
waist high pantyhose compression rated 20-29 mmhg,"Compression Stockings, thigh/full (20-29 mmhg)"
full length medical compression stockings about 22 mmhg,"Compression Stockings, thigh/full (20-29 mmhg)"
thigh high stockings rated 20 to 29 mmhg for circulation,"Compression Stockings, thigh/full (20-29 mmhg)"
prescribed thigh-high compression socks 20-29mmhg,"Compression Stockings, thigh/full (20-29 mmhg)"
need to claim full-length compression stockings 25 mmhg,"Compression Stockings, thigh/full (20-29 mmhg)"
thigh high compression stockings over 30 mmhg,"Compression Stockings, thigh/full (30 mmhg & over)"
full length high compression stockings rated 30-40 mmhg,"Compression Stockings, thigh/full (30 mmhg & over)"
claiming thigh length stockings 30 mmhg and above,"Compression Stockings, thigh/full (30 mmhg & over)"
waist high compression pantyhose 35 mmhg for severe swelling,"Compression Stockings, thigh/full (30 mmhg & over)"
extra firm thigh high compression hose 30+ mmhg,"Compression Stockings, thigh/full (30 mmhg & over)"
prescribed full length stockings at 40 mmhg pressure,"Compression Stockings, thigh/full (30 mmhg & over)"
thigh high medical compression stockings over 30mmhg,"Compression Stockings, thigh/full (30 mmhg & over)"
need to submit claim for 30+ mmhg thigh-length compression,"Compression Stockings, thigh/full (30 mmhg & over)"
bought a knee brace from shoppers drug mart,Brace (Non-custom)
I got an off-the-shelf wrist brace,Brace (Non-custom)
purchased a non-custom ankle brace from the pharmacy,Brace (Non-custom)
need to claim a store-bought back brace,Brace (Non-custom)
claiming a ready-made elbow brace,Brace (Non-custom)
bought a standard knee brace not custom,Brace (Non-custom)
got a non-custom wrist support brace,Brace (Non-custom)
over the counter shoulder brace from amazon,Brace (Non-custom)
I was fitted for a custom AFO brace for my ankle and foot,"Brace, AFO/KAFO (Custom)"
claiming a custom-made KAFO leg brace,"Brace, AFO/KAFO (Custom)"
my orthotist made a custom ankle-foot orthosis for me,"Brace, AFO/KAFO (Custom)"
need to submit receipt for custom AFO brace,"Brace, AFO/KAFO (Custom)"
got a custom KAFO brace that goes from knee to ankle to foot,"Brace, AFO/KAFO (Custom)"
prescription custom AFO for drop foot,"Brace, AFO/KAFO (Custom)"
had a custom knee-ankle-foot orthosis made at the clinic,"Brace, AFO/KAFO (Custom)"
claiming my custom-made AFO ankle brace,"Brace, AFO/KAFO (Custom)"
I got a custom brace made for my left knee,"Brace, left knee (Custom)"
claiming a custom left knee brace from the orthotist,"Brace, left knee (Custom)"
prescription custom-made brace for my left knee injury,"Brace, left knee (Custom)"
had my left knee fitted for a custom brace,"Brace, left knee (Custom)"
custom left knee brace for my ACL tear,"Brace, left knee (Custom)"
need to claim a fitted brace for left knee,"Brace, left knee (Custom)"
my orthotist made a custom brace specifically for my left knee,"Brace, left knee (Custom)"
custom molded left knee brace after surgery,"Brace, left knee (Custom)"
I got a custom brace made for my right knee,"Brace, right knee (Custom)"
claiming a custom right knee brace from the orthotist,"Brace, right knee (Custom)"
prescription custom-made brace for my right knee,"Brace, right knee (Custom)"
had my right knee fitted for a custom brace,"Brace, right knee (Custom)"
custom right knee brace for my meniscus injury,"Brace, right knee (Custom)"
need to claim a fitted brace for right knee,"Brace, right knee (Custom)"
my orthotist made a custom brace specifically for my right knee,"Brace, right knee (Custom)"
custom molded right knee brace after surgery,"Brace, right knee (Custom)"
I bought a blood glucose meter to check my sugar levels,Blood glucose meter
purchased a glucometer from the pharmacy,Blood glucose meter
need to claim a blood sugar testing meter,Blood glucose meter
claiming a glucose meter device for diabetes,Blood glucose meter
got a finger-prick blood glucose monitor,Blood glucose meter
bought a basic blood sugar meter at shoppers,Blood glucose meter
claiming my new glucose meter for testing blood sugar,Blood glucose meter
purchased a blood glucose monitoring device,Blood glucose meter
I need to claim the receiver unit for my CGM system,Glucose Monitoring System Receiver
bought the Dexcom receiver for continuous glucose monitoring,Glucose Monitoring System Receiver
claiming the display receiver for my glucose monitoring system,Glucose Monitoring System Receiver
purchased the reader device for my freestyle libre,Glucose Monitoring System Receiver
need to submit claim for the CGM receiver screen,Glucose Monitoring System Receiver
got a replacement receiver for my continuous glucose monitor,Glucose Monitoring System Receiver
claiming the handheld receiver that shows my glucose readings,Glucose Monitoring System Receiver
purchased the glucose monitoring system receiver unit,Glucose Monitoring System Receiver
I need to claim CGM sensors for my Dexcom,Glucose Monitoring System Supplies/Sensors
bought replacement sensors for my continuous glucose monitor,Glucose Monitoring System Supplies/Sensors
claiming freestyle libre sensor patches,Glucose Monitoring System Supplies/Sensors
purchased glucose monitoring adhesive patches and sensors,Glucose Monitoring System Supplies/Sensors
need more sensors for my glucose monitoring system,Glucose Monitoring System Supplies/Sensors
claiming supplies like sensors and adhesives for my CGM,Glucose Monitoring System Supplies/Sensors
bought a box of CGM sensor refills,Glucose Monitoring System Supplies/Sensors
purchased replacement sensors for glucose monitoring,Glucose Monitoring System Supplies/Sensors
I need to claim the transmitter for my Dexcom CGM,Glucose Monitoring System Transmitter
bought a replacement transmitter for my glucose monitoring system,Glucose Monitoring System Transmitter
claiming the wireless transmitter that sends glucose data to my phone,Glucose Monitoring System Transmitter
purchased the CGM transmitter unit,Glucose Monitoring System Transmitter
need to submit for the glucose monitor transmitter piece,Glucose Monitoring System Transmitter
got a new transmitter for my continuous glucose monitoring system,Glucose Monitoring System Transmitter
claiming the bluetooth transmitter for my CGM,Glucose Monitoring System Transmitter
purchased the glucose monitoring system transmitter component,Glucose Monitoring System Transmitter
I bought a CPAP machine for my sleep apnea,"CPAP, APAP, BIPAP Machine"
purchased a BIPAP machine as prescribed by my sleep doctor,"CPAP, APAP, BIPAP Machine"
claiming an APAP breathing machine,"CPAP, APAP, BIPAP Machine"
need to claim my new CPAP device,"CPAP, APAP, BIPAP Machine"
got a CPAP machine from the sleep clinic,"CPAP, APAP, BIPAP Machine"
bought the actual cpap machine unit for sleep apnea,"CPAP, APAP, BIPAP Machine"
claiming an auto-PAP machine for obstructive sleep apnea,"CPAP, APAP, BIPAP Machine"
purchased a BiPAP device for nighttime breathing,"CPAP, APAP, BIPAP Machine"
I need a new mask for my CPAP machine,"CPAP, APAP, BIPAP Mask"
bought a replacement CPAP nasal mask,"CPAP, APAP, BIPAP Mask"
claiming a full face CPAP mask,"CPAP, APAP, BIPAP Mask"
purchased a new BIPAP mask with headgear,"CPAP, APAP, BIPAP Mask"
need to claim a nasal pillow mask for my APAP,"CPAP, APAP, BIPAP Mask"
got a replacement mask for my sleep apnea machine,"CPAP, APAP, BIPAP Mask"
claiming a CPAP mask fitting and purchase,"CPAP, APAP, BIPAP Mask"
bought a new cpap face mask because mine is worn out,"CPAP, APAP, BIPAP Mask"
purchased replacement mask cushions and frame for my CPAP,"CPAP, APAP, BIPAP Mask"
I need to claim CPAP tubing and filters,"CPAP, APAP, BIPAP Supplies"
bought replacement hose and humidifier tank for my CPAP,"CPAP, APAP, BIPAP Supplies"
claiming CPAP supplies like filters and water chamber,"CPAP, APAP, BIPAP Supplies"
purchased BIPAP headgear straps and chin strap,"CPAP, APAP, BIPAP Supplies"
need to claim cpap accessories like tubing and filters,"CPAP, APAP, BIPAP Supplies"
got replacement CPAP supplies from the sleep store,"CPAP, APAP, BIPAP Supplies"
claiming CPAP cleaning solution and replacement filters,"CPAP, APAP, BIPAP Supplies"
bought CPAP humidifier chamber and hose,"CPAP, APAP, BIPAP Supplies"
purchased various CPAP accessories and replacement parts,"CPAP, APAP, BIPAP Supplies"
I saw a social worker with a BSW degree,Social Worker (Bachelors)
claiming sessions with a bachelor-level social worker,Social Worker (Bachelors)
my social worker has a bachelor's degree in social work,Social Worker (Bachelors)
visited a registered social worker with BSW credentials,Social Worker (Bachelors)
need to claim for my social worker who has a bachelors,Social Worker (Bachelors)
"saw a social worker, she has a BSW not a masters",Social Worker (Bachelors)
claiming counselling with a bachelor's level social worker,Social Worker (Bachelors)
my therapist is a social worker with a 4-year BSW degree,Social Worker (Bachelors)
I saw a social worker with a MSW degree,Social Worker (Masters level)
claiming sessions with a master-level social worker,Social Worker (Masters level)
my social worker has a master's in social work,Social Worker (Masters level)
visited a registered social worker with MSW credentials,Social Worker (Masters level)
need to claim for my social worker who has a masters degree,Social Worker (Masters level)
"saw a social worker, she has an MSW",Social Worker (Masters level)
claiming counselling with a master's level social worker,Social Worker (Masters level)
my therapist is a clinical social worker with an MSW,Social Worker (Masters level)
I bought a walker without wheels for my grandma,Walker - non wheeled (purchase)
purchased a standard walker with no wheels,Walker - non wheeled (purchase)
claiming a basic walking frame with rubber feet,Walker - non wheeled (purchase)
bought a non-wheeled walker from the medical supply store,Walker - non wheeled (purchase)
need to claim a walker that doesn't have wheels,Walker - non wheeled (purchase)
got a standard aluminum walker without any wheels,Walker - non wheeled (purchase)
purchased a pickup walker with tennis ball feet,Walker - non wheeled (purchase)
"claiming a basic walker frame, no wheels on it",Walker - non wheeled (purchase)
I bought a rollator walker with four wheels,Walker - with wheels (purchase)
purchased a wheeled walker with a seat,Walker - with wheels (purchase)
claiming a rolling walker with brakes,Walker - with wheels (purchase)
bought a walker that has wheels on it,Walker - with wheels (purchase)
need to claim a 4-wheel rollator walker,Walker - with wheels (purchase)
got a wheeled walker with a basket from shoppers,Walker - with wheels (purchase)
purchased a walker with two front wheels,Walker - with wheels (purchase)
claiming a rolling walker with wheels for mobility,Walker - with wheels (purchase)
I bought an automatic insulin injection device,Insulin Gun (automatic)
claiming an auto-inject insulin gun,Insulin Gun (automatic)
purchased an automatic insulin pen injector gun,Insulin Gun (automatic)
need to claim my automatic insulin gun for injections,Insulin Gun (automatic)
got an auto insulin injector gun from the pharmacy,Insulin Gun (automatic)
claiming an automatic spring-loaded insulin gun,Insulin Gun (automatic)
bought an automatic insulin injection gun device,Insulin Gun (automatic)
purchased automatic insulin gun for self-injection,Insulin Gun (automatic)
I bought a manual insulin injection gun,Insulin Gun (manual)
claiming a manual insulin gun for my injections,Insulin Gun (manual)
purchased a manual press insulin injector gun,Insulin Gun (manual)
need to claim a non-automatic insulin gun,Insulin Gun (manual)
got a manual insulin injection device,Insulin Gun (manual)
claiming a hand-operated insulin gun,Insulin Gun (manual)
"bought a manual insulin gun, not the automatic type",Insulin Gun (manual)
purchased a manual spring insulin gun,Insulin Gun (manual)
I bought an insulin pump for continuous delivery,Insulin infusion pump
claiming an insulin infusion pump device,Insulin infusion pump
purchased an insulin pump that I wear on my body,Insulin infusion pump
need to claim my OmniPod insulin pump,Insulin infusion pump
got a Medtronic insulin pump for diabetes management,Insulin infusion pump
claiming an insulin delivery pump,Insulin infusion pump
bought a tubeless insulin infusion pump,Insulin infusion pump
purchased an insulin pump system for continuous glucose management,Insulin infusion pump
I need to claim insulin pump supplies like infusion sets,Insulin infusion pump supplies
bought replacement tubing and reservoirs for my insulin pump,Insulin infusion pump supplies
claiming insulin pump cartridges and cannulas,Insulin infusion pump supplies
purchased infusion set supplies for my OmniPod,Insulin infusion pump supplies
need to claim insulin pump consumables and reservoirs,Insulin infusion pump supplies
got replacement insulin pump supplies,Insulin infusion pump supplies
claiming infusion sets and insertion devices for my pump,Insulin infusion pump supplies
"bought insulin pump tubing, reservoirs, and adhesive patches",Insulin infusion pump supplies
I bought an insulin pen for my injections,Insulin Pen Injector
claiming a reusable insulin pen injector,Insulin Pen Injector
purchased an insulin pen device,Insulin Pen Injector
need to claim my NovoPen insulin injector,Insulin Pen Injector
got an insulin pen from the pharmacy,Insulin Pen Injector
claiming a click-dose insulin pen injector,Insulin Pen Injector
"bought a reusable insulin pen, not a gun",Insulin Pen Injector
purchased an insulin pen for daily injections,Insulin Pen Injector
I bought a pair of underarm crutches,"Crutches, pair"
purchased standard crutches after breaking my ankle,"Crutches, pair"
claiming a pair of axillary crutches,"Crutches, pair"
"need to claim regular crutches, the underarm kind","Crutches, pair"
got a pair of standard crutches from the ER,"Crutches, pair"
bought aluminum underarm crutches pair,"Crutches, pair"
claiming a set of standard underarm crutches,"Crutches, pair"
purchased a pair of crutches for my sprained ankle,"Crutches, pair"
I bought a forearm crutch with an arm cuff,Forearm Crutch (purchase)
purchased a single forearm or elbow crutch,Forearm Crutch (purchase)
claiming a lofstrand crutch that grips my forearm,Forearm Crutch (purchase)
"need to claim a forearm crutch, the kind with an elbow brace",Forearm Crutch (purchase)
got forearm crutches with cuffs around my arms,Forearm Crutch (purchase)
bought elbow crutches instead of underarm ones,Forearm Crutch (purchase)
claiming forearm crutches for long term use,Forearm Crutch (purchase)
purchased Canadian crutches with forearm supports,Forearm Crutch (purchase)
I bought a TENS machine for pain relief,"Stimulator, muscle/nerve (TENS)"
purchased a muscle stimulator device,"Stimulator, muscle/nerve (TENS)"
claiming a nerve stimulator TENS unit,"Stimulator, muscle/nerve (TENS)"
need to claim a TENS device for my back pain,"Stimulator, muscle/nerve (TENS)"
got a transcutaneous electrical nerve stimulation unit,"Stimulator, muscle/nerve (TENS)"
bought a TENS machine from the physio clinic,"Stimulator, muscle/nerve (TENS)"
claiming an EMS muscle stimulator device,"Stimulator, muscle/nerve (TENS)"
purchased a TENS unit for nerve pain management,"Stimulator, muscle/nerve (TENS)"
I need replacement electrode pads for my TENS machine,"Stimulator, supplies"
claiming TENS unit supplies like gel pads and wires,"Stimulator, supplies"
purchased replacement leads and electrodes for my stimulator,"Stimulator, supplies"
need to claim electrode pads for my TENS device,"Stimulator, supplies"
bought TENS machine supplies and replacement pads,"Stimulator, supplies"
claiming new electrode patches and gel for my stimulator,"Stimulator, supplies"
purchased stimulator accessories and replacement electrodes,"Stimulator, supplies"
got replacement wire leads for my TENS unit,"Stimulator, supplies"
I had a chiropody treatment for my feet,Chiropody (Foot Care) Treatment
went to the chiropodist for foot care treatment,Chiropody (Foot Care) Treatment
claiming a foot care appointment with a chiropodist,Chiropody (Foot Care) Treatment
need to claim my chiropody session for ingrown toenail,Chiropody (Foot Care) Treatment
visited the foot care specialist for callus removal,Chiropody (Foot Care) Treatment
had a chiropody appointment for diabetic foot care,Chiropody (Foot Care) Treatment
